,L,U
19850414,8.5,8.5
19850415,8.5,8.5
19850416,8.5,8.5
19850417,8.5,8.5
19850418,8.5,8.5
19850419,8.5,8.5
19850420,8.5,8.5
19850421,8.5,8.5
19850422,8.5,8.5
19850423,8.5,8.5
19850424,8.5,8.5
19850425,8.25,8.25
19850426,8.25,8.25
19850427,8.25,8.25
19850428,8.25,8.25
19850429,8.25,8.25
19850430,8.25,8.25
19850501,8.25,8.25
19850502,8.25,8.25
19850503,8.25,8.25
19850504,8.25,8.25
19850505,8.25,8.25
19850506,8.25,8.25
19850507,8.25,8.25
19850508,8.25,8.25
19850509,8.25,8.25
19850510,8.25,8.25
19850511,8.25,8.25
19850512,8.25,8.25
19850513,8.25,8.25
19850514,8.25,8.25
19850515,8.25,8.25
19850516,8.25,8.25
19850517,8.25,8.25
19850518,8.25,8.25
19850519,8.25,8.25
19850520,7.75,7.75
19850521,7.75,7.75
19850522,7.75,7.75
19850523,7.75,7.75
19850524,7.75,7.75
19850525,7.75,7.75
19850526,7.75,7.75
19850527,7.75,7.75
19850528,7.75,7.75
19850529,7.75,7.75
19850530,7.75,7.75
19850531,7.75,7.75
19850601,7.75,7.75
19850602,7.75,7.75
19850603,7.75,7.75
19850604,7.75,7.75
19850605,7.75,7.75
19850606,7.75,7.75
19850607,7.75,7.75
19850608,7.75,7.75
19850609,7.75,7.75
19850610,7.75,7.75
19850611,7.75,7.75
19850612,7.75,7.75
19850613,7.75,7.75
19850614,7.75,7.75
19850615,7.75,7.75
19850616,7.75,7.75
19850617,7.75,7.75
19850618,7.75,7.75
19850619,7.75,7.75
19850620,7.75,7.75
19850621,7.75,7.75
19850622,7.75,7.75
19850623,7.75,7.75
19850624,7.75,7.75
19850625,7.75,7.75
19850626,7.75,7.75
19850627,7.75,7.75
19850628,7.75,7.75
19850629,7.75,7.75
19850630,7.75,7.75
19850701,7.75,7.75
19850702,7.75,7.75
19850703,7.75,7.75
19850704,7.75,7.75
19850705,7.75,7.75
19850706,7.75,7.75
19850707,7.75,7.75
19850708,7.75,7.75
19850709,7.75,7.75
19850710,7.75,7.75
19850711,7.6875,7.6875
19850712,7.6875,7.6875
19850713,7.6875,7.6875
19850714,7.6875,7.6875
19850715,7.6875,7.6875
19850716,7.6875,7.6875
19850717,7.6875,7.6875
19850718,7.6875,7.6875
19850719,7.6875,7.6875
19850720,7.6875,7.6875
19850721,7.6875,7.6875
19850722,7.6875,7.6875
19850723,7.6875,7.6875
19850724,7.6875,7.6875
19850725,7.75,7.75
19850726,7.75,7.75
19850727,7.75,7.75
19850728,7.75,7.75
19850729,7.75,7.75
19850730,7.75,7.75
19850731,7.75,7.75
19850801,7.75,7.75
19850802,7.75,7.75
19850803,7.75,7.75
19850804,7.75,7.75
19850805,7.75,7.75
19850806,7.75,7.75
19850807,7.75,7.75
19850808,7.75,7.75
19850809,7.75,7.75
19850810,7.75,7.75
19850811,7.75,7.75
19850812,7.75,7.75
19850813,7.75,7.75
19850814,7.75,7.75
19850815,7.75,7.75
19850816,7.75,7.75
19850817,7.75,7.75
19850818,7.75,7.75
19850819,7.75,7.75
19850820,7.75,7.75
19850821,7.8125,7.8125
19850822,7.8125,7.8125
19850823,7.8125,7.8125
19850824,7.8125,7.8125
19850825,7.8125,7.8125
19850826,7.8125,7.8125
19850827,7.8125,7.8125
19850828,7.8125,7.8125
19850829,7.8125,7.8125
19850830,7.8125,7.8125
19850831,7.8125,7.8125
19850901,7.8125,7.8125
19850902,7.8125,7.8125
19850903,7.8125,7.8125
19850904,7.8125,7.8125
19850905,7.8125,7.8125
19850906,8.0,8.0
19850907,8.0,8.0
19850908,8.0,8.0
19850909,8.0,8.0
19850910,8.0,8.0
19850911,8.0,8.0
19850912,8.0,8.0
19850913,8.0,8.0
19850914,8.0,8.0
19850915,8.0,8.0
19850916,8.0,8.0
19850917,8.0,8.0
19850918,8.0,8.0
19850919,8.0,8.0
19850920,8.0,8.0
19850921,8.0,8.0
19850922,8.0,8.0
19850923,8.0,8.0
19850924,8.0,8.0
19850925,8.0,8.0
19850926,8.0,8.0
19850927,8.0,8.0
19850928,8.0,8.0
19850929,8.0,8.0
19850930,8.0,8.0
19851001,8.0,8.0
19851002,8.0,8.0
19851003,8.0,8.0
19851004,8.0,8.0
19851005,8.0,8.0
19851006,8.0,8.0
19851007,8.0,8.0
19851008,8.0,8.0
19851009,8.0,8.0
19851010,8.0,8.0
19851011,8.0,8.0
19851012,8.0,8.0
19851013,8.0,8.0
19851014,8.0,8.0
19851015,8.0,8.0
19851016,8.0,8.0
19851017,8.0,8.0
19851018,8.0,8.0
19851019,8.0,8.0
19851020,8.0,8.0
19851021,8.0,8.0
19851022,8.0,8.0
19851023,8.0,8.0
19851024,8.0,8.0
19851025,8.0,8.0
19851026,8.0,8.0
19851027,8.0,8.0
19851028,8.0,8.0
19851029,8.0,8.0
19851030,8.0,8.0
19851031,8.0,8.0
19851101,8.0,8.0
19851102,8.0,8.0
19851103,8.0,8.0
19851104,8.0,8.0
19851105,8.0,8.0
19851106,8.0,8.0
19851107,8.0,8.0
19851108,8.0,8.0
19851109,8.0,8.0
19851110,8.0,8.0
19851111,8.0,8.0
19851112,8.0,8.0
19851113,8.0,8.0
19851114,8.0,8.0
19851115,8.0,8.0
19851116,8.0,8.0
19851117,8.0,8.0
19851118,8.0,8.0
19851119,8.0,8.0
19851120,8.0,8.0
19851121,8.0,8.0
19851122,8.0,8.0
19851123,8.0,8.0
