Date,Close,Open,High,Low,Increase
2008年4月25日,1.367,1.367,1.367,1.367,8.49%
2008年4月24日,1.26,1.26,1.26,1.26,3.36%
2008年4月23日,1.219,1.219,1.219,1.219,-5.87%
2008年4月22日,1.295,1.295,1.295,1.295,-1.97%
2008年4月21日,1.321,1.321,1.321,1.321,-1.49%
2008年4月18日,1.341,1.341,1.341,1.341,4.36%
2008年4月17日,1.285,1.285,1.285,1.285,14.53%
2008年4月16日,1.122,1.122,1.122,1.122,-3.94%
2008年4月15日,1.168,1.168,1.168,1.168,9.67%
2008年4月14日,1.065,1.065,1.065,1.065,-11.47%
2008年4月11日,1.203,1.203,1.203,1.203,-0.82%
2008年4月10日,1.213,1.213,1.213,1.213,-6.69%
2008年4月9日,1.3,1.3,1.3,1.3,-5.25%
2008年4月8日,1.372,1.372,1.372,1.372,-1.44%
2008年4月7日,1.392,1.392,1.392,1.392,11.00%
2008年4月4日,1.254,1.254,1.254,1.254,-3.98%
2008年4月3日,1.306,1.306,1.306,1.306,-3.76%
2008年4月2日,1.357,1.357,1.357,1.357,1.57%
2008年4月1日,1.336,1.336,1.336,1.336,5.70%
2008年3月31日,1.264,1.264,1.264,1.264,-2.02%
2008年3月28日,1.29,1.29,1.29,1.29,9.97%
2008年3月27日,1.173,1.173,1.173,1.173,-2.49%
2008年3月26日,1.203,1.203,1.203,1.203,23.64%
2008年3月25日,0.973,0.973,0.973,0.973,89.30%
2008年3月24日,0.514,0.514,0.514,0.514,-0.96%
2008年3月20日,0.519,0.519,0.519,0.519,-5.64%
2008年3月19日,0.55,0.55,0.55,0.55,-26.57%
2008年3月18日,0.749,0.749,0.749,0.749,19.65%
2008年3月17日,0.626,0.626,0.626,0.626,-43.65%
2008年3月14日,1.111,1.111,1.111,1.111,-13.88%
2008年3月13日,1.29,1.29,1.29,1.29,-6.66%
2008年3月12日,1.382,1.382,1.382,1.382,3.83%
2008年3月11日,1.331,1.331,1.331,1.331,1.60%
2008年3月10日,1.31,1.31,1.31,1.31,3.15%
2008年3月7日,1.27,1.27,1.27,1.27,-5.65%
2008年3月6日,1.346,1.346,1.346,1.346,-9.66%
2008年3月5日,1.49,1.49,1.49,1.49,-5.52%
2008年3月4日,1.577,1.577,1.577,1.577,-2.17%
2008年3月3日,1.612,1.612,1.612,1.612,-8.72%
2008年2月29日,1.766,1.766,1.766,1.766,-2.32%
2008年2月28日,1.808,1.808,1.808,1.808,-5.09%
2008年2月27日,1.905,1.905,1.905,1.905,-7.30%
2008年2月26日,2.055,2.055,2.055,2.055,-4.91%
2008年2月25日,2.161,2.161,2.161,2.161,0.00%
2008年2月22日,2.161,2.161,2.161,2.161,-0.96%
2008年2月21日,2.182,2.182,2.182,2.182,-0.73%
2008年2月20日,2.198,2.198,2.198,2.198,-0.41%
2008年2月19日,2.207,2.207,2.207,2.207,1.38%
2008年2月15日,2.177,2.177,2.177,2.177,-3.42%
2008年2月14日,2.254,2.254,2.254,2.254,1.35%
