Date,Close,Open,High,Low,Increase
2008年12月2日,1.659,1.659,1.659,1.659,-3.27%
2008年12月1日,1.715,1.715,1.715,1.715,-10.40%
2008年11月28日,1.914,1.914,1.914,1.914,-5.85%
2008年11月26日,2.033,2.033,2.033,2.033,-3.65%
2008年11月25日,2.11,2.11,2.11,2.11,-4.26%
2008年11月24日,2.204,2.204,2.204,2.204,7.30%
2008年11月21日,2.054,2.054,2.054,2.054,9.72%
2008年11月20日,1.872,1.872,1.872,1.872,-7.83%
2008年11月19日,2.031,2.031,2.031,2.031,-7.22%
2008年11月18日,2.189,2.189,2.189,2.189,-3.57%
2008年11月17日,2.27,2.27,2.27,2.27,-2.16%
2008年11月14日,2.32,2.32,2.32,2.32,-4.41%
2008年11月13日,2.427,2.427,2.427,2.427,3.01%
2008年11月12日,2.356,2.356,2.356,2.356,-5.91%
2008年11月10日,2.504,2.504,2.504,2.504,-2.30%
2008年11月7日,2.563,2.563,2.563,2.563,4.10%
2008年11月6日,2.462,2.462,2.462,2.462,-1.72%
2008年11月5日,2.505,2.505,2.505,2.505,-0.95%
2008年11月4日,2.529,2.529,2.529,2.529,-6.54%
2008年11月3日,2.706,2.706,2.706,2.706,-3.74%
2008年10月31日,2.811,2.811,2.811,2.811,0.54%
2008年10月30日,2.796,2.796,2.796,2.796,2.53%
2008年10月29日,2.727,2.727,2.727,2.727,-0.44%
2008年10月28日,2.739,2.739,2.739,2.739,5.43%
2008年10月27日,2.598,2.598,2.598,2.598,1.17%
2008年10月24日,2.568,2.568,2.568,2.568,-2.54%
2008年10月23日,2.635,2.635,2.635,2.635,4.15%
2008年10月22日,2.53,2.53,2.53,2.53,-5.03%
2008年10月21日,2.664,2.664,2.664,2.664,-4.79%
2008年10月20日,2.798,2.798,2.798,2.798,-1.41%
2008年10月17日,2.838,2.838,2.838,2.838,-0.49%
2008年10月16日,2.852,2.852,2.852,2.852,1.17%
2008年10月15日,2.819,2.819,2.819,2.819,-6.41%
2008年10月14日,3.012,3.012,3.012,3.012,9.05%
2008年10月10日,2.762,2.762,2.762,2.762,3.10%
2008年10月9日,2.679,2.679,2.679,2.679,1.25%
2008年10月8日,2.646,2.646,2.646,2.646,7.39%
2008年10月7日,2.464,2.464,2.464,2.464,0.57%
2008年10月6日,2.45,2.45,2.45,2.45,-6.77%
2008年10月3日,2.628,2.628,2.628,2.628,-0.90%
2008年10月2日,2.652,2.652,2.652,2.652,-7.43%
2008年10月1日,2.865,2.865,2.865,2.865,-3.67%
2008年9月30日,2.974,2.974,2.974,2.974,11.80%
2008年9月29日,2.66,2.66,2.66,2.66,-12.99%
2008年9月26日,3.057,3.057,3.057,3.057,0.53%
2008年9月25日,3.041,3.041,3.041,3.041,4.18%
2008年9月24日,2.919,2.919,2.919,2.919,-2.34%
2008年9月23日,2.989,2.989,2.989,2.989,-2.42%
2008年9月22日,3.063,3.063,3.063,3.063,0.69%
2008年9月19日,3.042,3.042,3.042,3.042,15.67%
2008年9月18日,2.63,2.63,2.63,2.63,4.08%
2008年9月17日,2.527,2.527,2.527,2.527,-2.58%
2008年9月16日,2.594,2.594,2.594,2.594,2.37%
2008年9月15日,2.534,2.534,2.534,2.534,-14.19%
2008年9月12日,2.953,2.953,2.953,2.953,0.85%
2008年9月11日,2.928,2.928,2.928,2.928,0.76%
2008年9月10日,2.906,2.906,2.906,2.906,1.79%
2008年9月9日,2.855,2.855,2.855,2.855,-4.19%
2008年9月8日,2.98,2.98,2.98,2.98,0.03%
2008年9月5日,2.979,2.979,2.979,2.979,4.20%
2008年9月4日,2.859,2.859,2.859,2.859,-3.08%
2008年9月3日,2.95,2.95,2.95,2.95,-1.37%
2008年9月2日,2.991,2.991,2.991,2.991,-3.33%
2008年8月29日,3.094,3.094,3.094,3.094,1.24%
2008年8月28日,3.056,3.056,3.056,3.056,1.29%
2008年8月27日,3.017,3.017,3.017,3.017,-0.92%
2008年8月26日,3.045,3.045,3.045,3.045,-0.10%
2008年8月25日,3.048,3.048,3.048,3.048,-3.05%
2008年8月22日,3.144,3.144,3.144,3.144,2.54%
2008年8月21日,3.066,3.066,3.066,3.066,1.59%
2008年8月20日,3.018,3.018,3.018,3.018,-1.34%
2008年8月19日,3.059,3.059,3.059,3.059,-0.39%
2008年8月18日,3.071,3.071,3.071,3.071,-1.13%
2008年8月15日,3.106,3.106,3.106,3.106,-1.52%
2008年8月14日,3.154,3.154,3.154,3.154,-1.53%
2008年8月13日,3.203,3.203,3.203,3.203,1.94%
2008年8月12日,3.142,3.142,3.142,3.142,-3.71%
2008年8月11日,3.263,3.263,3.263,3.263,1.81%
2008年8月8日,3.205,3.205,3.205,3.205,1.65%
2008年8月7日,3.153,3.153,3.153,3.153,-5.32%
2008年8月6日,3.33,3.33,3.33,3.33,0.91%
2008年8月5日,3.3,3.3,3.3,3.3,1.48%
2008年8月4日,3.252,3.252,3.252,3.252,0.90%
2008年8月1日,3.223,3.223,3.223,3.223,-0.68%
2008年7月31日,3.245,3.245,3.245,3.245,-3.79%
2008年7月30日,3.373,3.373,3.373,3.373,-0.12%
2008年7月29日,3.377,3.377,3.377,3.377,1.93%
2008年7月28日,3.313,3.313,3.313,3.313,-3.97%
2008年7月25日,3.45,3.45,3.45,3.45,3.76%
2008年7月24日,3.325,3.325,3.325,3.325,-5.00%
2008年7月23日,3.5,3.5,3.5,3.5,0.66%
2008年7月22日,3.477,3.477,3.477,3.477,3.36%
2008年7月21日,3.364,3.364,3.364,3.364,-1.67%
2008年7月18日,3.421,3.421,3.421,3.421,4.46%
2008年7月17日,3.275,3.275,3.275,3.275,2.47%
2008年7月16日,3.196,3.196,3.196,3.196,3.23%
2008年7月15日,3.096,3.096,3.096,3.096,-2.58%
2008年7月14日,3.178,3.178,3.178,3.178,-3.46%
2008年7月11日,3.292,3.292,3.292,3.292,6.78%
2008年7月10日,3.083,3.083,3.083,3.083,0.16%
2008年7月9日,3.078,3.078,3.078,3.078,-3.36%
2008年7月8日,3.185,3.185,3.185,3.185,-0.38%
2008年7月7日,3.197,3.197,3.197,3.197,-2.80%
2008年7月3日,3.289,3.289,3.289,3.289,-0.21%
2008年7月2日,3.296,3.296,3.296,3.296,-1.99%
2008年7月1日,3.363,3.363,3.363,3.363,0.78%
2008年6月30日,3.337,3.337,3.337,3.337,-0.15%
2008年6月27日,3.342,3.342,3.342,3.342,-1.42%
2008年6月26日,3.39,3.39,3.39,3.39,-3.80%
2008年6月25日,3.524,3.524,3.524,3.524,-0.48%
2008年6月24日,3.541,3.541,3.541,3.541,-2.45%
2008年6月23日,3.63,3.63,3.63,3.63,1.00%
2008年6月20日,3.594,3.594,3.594,3.594,-1.48%
2008年6月19日,3.648,3.648,3.648,3.648,2.50%
2008年6月18日,3.559,3.559,3.559,3.559,-2.09%
2008年6月17日,3.635,3.635,3.635,3.635,-3.17%
2008年6月16日,3.754,3.754,3.754,3.754,0.81%
2008年6月13日,3.724,3.724,3.724,3.724,0.65%
2008年6月12日,3.7,3.7,3.7,3.7,6.41%
2008年6月11日,3.477,3.477,3.477,3.477,-2.44%
2008年6月10日,3.564,3.564,3.564,3.564,4.61%
2008年6月9日,3.407,3.407,3.407,3.407,6.67%
2008年6月6日,3.194,3.194,3.194,3.194,-4.14%
2008年6月5日,3.332,3.332,3.332,3.332,1.93%
2008年6月4日,3.269,3.269,3.269,3.269,2.67%
2008年6月3日,3.184,3.184,3.184,3.184,-2.96%
2008年6月2日,3.281,3.281,3.281,3.281,-4.34%
2008年5月30日,3.43,3.43,3.43,3.43,-0.17%
2008年5月29日,3.436,3.436,3.436,3.436,2.94%
2008年5月28日,3.338,3.338,3.338,3.338,3.50%
2008年5月27日,3.225,3.225,3.225,3.225,2.48%
2008年5月23日,3.147,3.147,3.147,3.147,-2.45%
2008年5月22日,3.226,3.226,3.226,3.226,4.84%
2008年5月21日,3.077,3.077,3.077,3.077,2.06%
2008年5月20日,3.015,3.015,3.015,3.015,-2.33%
2008年5月19日,3.087,3.087,3.087,3.087,-0.93%
2008年5月16日,3.116,3.116,3.116,3.116,0.78%
2008年5月15日,3.092,3.092,3.092,3.092,-3.86%
2008年5月14日,3.216,3.216,3.216,3.216,1.48%
2008年5月13日,3.169,3.169,3.169,3.169,5.07%
2008年5月12日,3.016,3.016,3.016,3.016,1.45%
2008年5月9日,2.973,2.973,2.973,2.973,-0.07%
2008年5月8日,2.975,2.975,2.975,2.975,-3.63%
2008年5月7日,3.087,3.087,3.087,3.087,-2.80%
2008年5月6日,3.176,3.176,3.176,3.176,0.41%
2008年5月5日,3.163,3.163,3.163,3.163,-0.19%
2008年5月2日,3.169,3.169,3.169,3.169,2.76%
2008年5月1日,3.084,3.084,3.084,3.084,2.19%
2008年4月30日,3.018,3.018,3.018,3.018,-3.33%
2008年4月29日,3.122,3.122,3.122,3.122,-0.10%
2008年4月28日,3.125,3.125,3.125,3.125,-1.67%
2008年4月25日,3.178,3.178,3.178,3.178,2.22%
2008年4月24日,3.109,3.109,3.109,3.109,5.00%
2008年4月23日,2.961,2.961,2.961,2.961,0.37%
2008年4月22日,2.95,2.95,2.95,2.95,0.37%
2008年4月21日,2.939,2.939,2.939,2.939,1.48%
2008年4月18日,2.896,2.896,2.896,2.896,0.07%
2008年4月17日,2.894,2.894,2.894,2.894,1.76%
2008年4月16日,2.844,2.844,2.844,2.844,5.06%
2008年4月15日,2.707,2.707,2.707,2.707,4.16%
2008年4月14日,2.599,2.599,2.599,2.599,0.89%
2008年4月11日,2.576,2.576,2.576,2.576,-3.92%
2008年4月10日,2.681,2.681,2.681,2.681,3.00%
2008年4月9日,2.603,2.603,2.603,2.603,-4.83%
2008年4月8日,2.735,2.735,2.735,2.735,-0.04%
2008年4月7日,2.736,2.736,2.736,2.736,4.31%
2008年4月4日,2.623,2.623,2.623,2.623,-4.72%
2008年4月3日,2.753,2.753,2.753,2.753,0.36%
2008年4月2日,2.743,2.743,2.743,2.743,3.47%
2008年4月1日,2.651,2.651,2.651,2.651,5.41%
2008年3月31日,2.515,2.515,2.515,2.515,0.60%
2008年3月28日,2.5,2.5,2.5,2.5,-2.08%
2008年3月27日,2.553,2.553,2.553,2.553,2.24%
2008年3月26日,2.497,2.497,2.497,2.497,-4.33%
2008年3月25日,2.61,2.61,2.61,2.61,-0.72%
2008年3月24日,2.629,2.629,2.629,2.629,10.23%
2008年3月20日,2.385,2.385,2.385,2.385,3.43%
2008年3月19日,2.306,2.306,2.306,2.306,-6.64%
2008年3月18日,2.47,2.47,2.47,2.47,12.17%
2008年3月17日,2.202,2.202,2.202,2.202,-8.52%
2008年3月14日,2.407,2.407,2.407,2.407,-3.80%
2008年3月13日,2.502,2.502,2.502,2.502,2.71%
2008年3月12日,2.436,2.436,2.436,2.436,-7.55%
2008年3月11日,2.635,2.635,2.635,2.635,10.67%
2008年3月10日,2.381,2.381,2.381,2.381,-2.54%
2008年3月7日,2.443,2.443,2.443,2.443,-1.49%
2008年3月6日,2.48,2.48,2.48,2.48,-3.99%
2008年3月5日,2.583,2.583,2.583,2.583,1.10%
2008年3月4日,2.555,2.555,2.555,2.555,1.83%
2008年3月3日,2.509,2.509,2.509,2.509,1.37%
2008年2月29日,2.475,2.475,2.475,2.475,-7.23%
2008年2月28日,2.668,2.668,2.668,2.668,-7.84%
2008年2月27日,2.895,2.895,2.895,2.895,0.45%
2008年2月26日,2.882,2.882,2.882,2.882,-2.83%
2008年2月25日,2.966,2.966,2.966,2.966,4.62%
2008年2月22日,2.835,2.835,2.835,2.835,1.07%
2008年2月21日,2.805,2.805,2.805,2.805,-5.97%
2008年2月20日,2.983,2.983,2.983,2.983,1.12%
2008年2月19日,2.95,2.95,2.95,2.95,7.00%
2008年2月15日,2.757,2.757,2.757,2.757,-0.58%
2008年2月14日,2.773,2.773,2.773,2.773,1.50%
